spec,coef_cpi_score_lag3,se_cpi_score_lag3,pvalue_cpi_score_lag3,nobs
baseline,-0.24440582544500183,0.1705144836822771,0.15364045900312484,197
exclude_2020,-0.22288528890632112,0.2211036672502271,0.31508311689599555,177
