model,nobs,r2_within,r2_between,r2_overall,f_stat,f_pvalue
FE_clustered,197,0.018455839911858507,-2.173790766436002,-1.8630908637694557,1.5629683337155722,0.21258052441306696
FE_unclustered,197,0.018455839911858507,-2.173790766436002,-1.8630908637694557,1.5629683337155722,0.21258052441306696
