lag,coef,se,pvalue,r2_within,nobs
1,-0.11349568072843975,0.14162421179397852,0.4238405672128085,0.014940243616726079,237
2,-0.1148676380094152,0.16101182656339497,0.476490341223631,0.01482452725957184,217
3,-0.24440582544500172,0.17051448368227703,0.15364045900312484,0.018455839911858507,197
4,0.03284809976952368,0.1800803159714624,0.8555138198472407,0.011688863240441272,177
5,0.21081268491855532,0.38324743444373405,0.5832303672413528,0.004496718987532677,157
6,0.3124324388835685,0.40169832465255634,0.43838436966522387,0.013319479194036088,137
12,,,,,0
