Year,Month,GEPU_current,GEPU_ppp,Australia,Brazil,Canada,Chile,China,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Pakistan,Russia,Spain,Singapore,UK,US,Sweden,Mexico
2012.0,1.0,155.22841912913435,158.48274509811742,140.266357421875,130.60597229003906,235.51641845703125,101.19027709960938,120.4490894,289.39776611328125,193.7616729736328,103.23512223365329,183.1171112060547,165.844667625542,179.2625732421875,138.48305228367312,254.889404296875,71.4461648918217,205.85337829589844,148.67044067382812,164.55990422412415,252.60073852539062,154.41802978515625,74.66651295,68.6519628173204
2012.0,2.0,142.05671042941958,148.33616981716602,227.5104217529297,96.60444641113281,184.25955200195312,63.674591064453125,139.152505,299.1496276855469,127.2582778930664,129.686145669577,180.22923278808594,126.872779914521,135.01560974121094,133.02811147480458,114.40123748779297,94.61898904055207,194.12831115722656,141.6598663330078,152.19712233842827,280.6376647949219,119.43543243408203,101.0075517,67.52161493359252
2012.0,3.0,133.42707057269976,146.8662941329987,134.02020263671875,175.36419677734375,187.7797088623047,94.25382995605469,136.7797916,219.1388397216797,112.18206024169922,110.17309355343956,239.41928100585938,142.699924890426,140.9508514404297,115.9700735767318,111.1845932006836,67.27256912101974,219.3765869140625,152.198974609375,140.53731564069545,254.34738159179688,98.74810791015625,74.17799674,43.30641315513694
2012.0,4.0,130.88523693433663,136.50267736600006,127.21565246582031,66.50650787353516,173.85983276367188,90.50003051757812,126.3162952,330.9455261230469,139.8486328125,116.05090117634354,173.36813354492188,196.649873356635,190.27879333496094,139.2436671315627,122.19598388671875,80.94327013518283,128.83169555664062,205.71994018554688,139.1775262337538,222.41671752929688,96.96967315673828,94.29543113,32.63353171152402
2012.0,5.0,160.47509910769094,165.5725107898236,244.48985290527344,156.2056884765625,258.1724853515625,114.82894897460938,133.1500448,313.9736633300781,169.5964813232422,182.10723036728612,246.41078186035156,179.232550115431,147.67372131347656,143.50036133551868,174.75238037109375,90.87072336851108,103.85138702392578,226.41781616210938,173.78227207110092,378.4496765136719,135.8798370361328,113.3613379,66.30916198286303
2012.0,6.0,184.0022693664575,188.31049549704892,236.63803100585938,176.1161651611328,249.10641479492188,139.5036163330078,139.038172,380.1791687011719,202.4900665283203,151.89283394207558,283.6890869140625,119.909812732418,141.23330688476562,171.3769116681688,207.79298400878906,96.72061359311971,98.41058349609375,234.37637329101562,196.057622540587,313.578857421875,197.46096801757812,114.2225398,67.71946450568895
2012.0,7.0,153.30700667004788,152.99256430944016,162.6157684326172,141.0108642578125,187.67164611816406,104.01844787597656,120.4032902,241.5575408935547,237.98158264160156,142.12571146666568,142.36514282226562,219.213163910524,126.45848846435547,98.07932739309379,152.12664794921875,81.68831902817426,104.93922424316406,233.6498565673828,152.5326685590889,292.40765380859375,180.8035430908203,123.8365079,48.794825527868326
2012.0,8.0,117.36385982738729,118.63401845140011,110.63846588134766,99.74259948730469,177.26629638671875,85.39205169677734,78.76684521,144.79931640625,161.606201171875,100.13854039100295,166.00540161132812,127.119466444418,98.05305480957031,98.82178221939682,131.95779418945312,60.61247078297302,78.06387329101562,164.81138610839844,118.28394532343032,218.67831420898438,142.95529174804688,91.95624142,47.963065097204606
2012.0,9.0,154.41709628193945,156.10490579691134,126.69681549072266,85.04138946533203,211.1724853515625,86.33992004394531,120.4692178,243.7095184326172,227.422607421875,106.68742851552442,152.3661651611328,130.056733381389,101.15518188476562,103.42686892926334,160.9791259765625,32.95069587484684,250.4549560546875,171.0133514404297,151.21033750869506,309.8489685058594,182.10719299316406,99.57802619,45.94752775264608
2012.0,10.0,151.89991378511874,151.65634429573933,178.72056579589844,104.04942321777344,218.4805908203125,68.25163269042969,113.1046342,284.00885009765625,174.70272827148438,104.1453064116589,163.22943115234375,148.649914762728,130.07620239257812,116.1161029229803,175.7323455810547,49.342444044572325,169.32164001464844,160.08543395996094,155.26402167288325,374.76806640625,166.12840270996094,82.46964768,57.2613196266181
2012.0,11.0,166.73184187001465,161.037000110006,115.93043518066406,102.34886169433594,382.5392150878906,98.84762573242188,122.3191181,332.82086181640625,214.81982421875,135.7901938941869,141.8102569580078,130.576240996678,113.1773681640625,125.18536856069139,188.55874633789062,56.22595224315185,36.585018157958984,146.38999938964844,166.36591861436136,408.43499755859375,205.8646697998047,102.2030606,41.81522161969489
2012.0,12.0,171.16874994689618,170.04450512292792,193.35743713378906,76.76616668701172,238.7257080078125,146.4833984375,142.077437,270.13153076171875,170.5152130126953,103.09488285081943,153.5653533935547,116.576548003938,141.23976135253906,139.88264477097104,164.72842407226562,53.56737624341598,156.4324951171875,151.52682495117188,173.467628582412,358.99346923828125,214.9519500732422,108.8973922,59.80223263524104
2013.0,1.0,168.2642680709402,165.96021311857433,110.67232513427734,164.3462371826172,223.526611328125,103.51300048828125,130.1575789,318.2390441894531,198.8842010498047,86.26991876149066,133.1490020751953,180.067956069359,171.18170166015625,95.4401703347736,192.95242309570312,56.75946928500228,197.7275848388672,135.85504150390625,162.60103484539263,371.5023193359375,199.35894775390625,107.4731204,67.06057445581781
2013.0,2.0,123.77125161209148,123.41635968507401,98.2016830444336,69.93822479248047,174.39271545410156,82.11314392089844,84.2713502,242.8760223388672,152.42018127441406,100.54723293792658,138.35072326660156,174.50738186748,184.06683349609375,104.48511979339676,164.4231414794922,75.81095186593681,151.24525451660156,124.1254653930664,123.10683075937867,265.6839294433594,128.5625,82.17815681,36.01390132518956
