Country / Territory,ISO3,Region,CPI score 2025,Rank 2025,Sources 2025,Standard error 2025,CPI score 2024,Rank 2024,Sources 2024,Standard error 2024,CPI score 2023,Rank 2023,Sources 2023,Standard error 2023,CPI score 2022,Rank 2022,Sources 2022,Standard error 2022,CPI score 2021,Rank 2021,Sources 2021,Standard error 2021,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Bahrain,BHR,MENA,50,56,7,6.22,53.0,53.0,7.0,6.44,42.0,76.0,6.0,5.33,44.0,69.0,6.0,6.19,42.0,78.0,6.0,5.2,42.0,78.0,6.0,5.91,42.0,77.0,6.0,7.65,36.0,99.0,4.0,1.81,36.0,103.0,4.0,1.81,43.0,5.0,5.96,51.0,5.0,7.86,49.0,5.0,6.11,48.0,5.0,5.4,51.0,5.0,4.1
Bangladesh,BGD,AP,24,150,8,1.5,23.0,151.0,8.0,1.46,24.0,149.0,8.0,1.51,25.0,147.0,8.0,1.93,26.0,147.0,8.0,1.74,26.0,146.0,8.0,1.72,26.0,146.0,8.0,2.62,26.0,149.0,8.0,2.63,28.0,143.0,8.0,3.19,26.0,7.0,4.13,25.0,7.0,4.3,25.0,7.0,4.23,27.0,7.0,4.1,26.0,7.0,4.1
Barbados,BRB,AME,68,24,3,3.12,68.0,23.0,3.0,3.12,69.0,24.0,3.0,3.37,65.0,29.0,4.0,3.28,65.0,29.0,4.0,3.07,64.0,29.0,4.0,5.47,62.0,30.0,4.0,6.06,68.0,25.0,3.0,3.12,68.0,25.0,3.0,3.24,61.0,3.0,6.91,,,,74.0,3.0,8.09,75.0,3.0,7.1,76.0,3.0,6.7
Belarus,BLR,ECA,31,124,7,3.49,33.0,114.0,7.0,3.18,37.0,98.0,7.0,3.34,39.0,91.0,7.0,3.14,41.0,82.0,8.0,2.35,47.0,63.0,7.0,3.38,45.0,66.0,7.0,4.2,44.0,70.0,7.0,3.92,44.0,68.0,7.0,4.12,40.0,7.0,3.93,32.0,6.0,4.37,31.0,5.0,4.04,29.0,5.0,4.0,31.0,5.0,3.6
Belgium,BEL,WE/EU,69,21,8,1.41,69.0,22.0,8.0,1.66,73.0,16.0,8.0,2.13,73.0,18.0,8.0,1.52,73.0,18.0,8.0,1.44,76.0,15.0,7.0,1.05,75.0,17.0,7.0,1.09,75.0,17.0,8.0,1.09,75.0,16.0,8.0,1.63,77.0,7.0,1.55,77.0,7.0,1.34,76.0,7.0,2.26,75.0,7.0,2.3,75.0,7.0,2.4
Belize,BLZ,AME,36,104,3,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,SSA,45,70,6,3.4,45.0,69.0,6.0,3.4,43.0,70.0,6.0,3.13,43.0,72.0,7.0,2.42,42.0,78.0,7.0,2.35,41.0,83.0,7.0,1.8,41.0,80.0,7.0,2.64,40.0,85.0,6.0,3.14,39.0,85.0,6.0,4.17,36.0,6.0,3.8,37.0,5.0,4.43,39.0,4.0,4.38,36.0,6.0,3.4,36.0,6.0,4.3
Bhutan,BTN,AP,71,18,4,2.06,72.0,18.0,4.0,1.64,68.0,26.0,4.0,2.18,68.0,25.0,4.0,2.18,68.0,25.0,4.0,2.24,68.0,24.0,4.0,2.39,68.0,25.0,4.0,2.76,68.0,25.0,4.0,2.86,67.0,26.0,5.0,1.83,65.0,5.0,2.12,65.0,4.0,2.14,65.0,4.0,1.81,63.0,4.0,2.6,63.0,3.0,3.6
Bolivia,BOL,AME,28,136,7,3.0,28.0,133.0,7.0,3.1,29.0,133.0,7.0,2.31,31.0,126.0,6.0,2.41,30.0,128.0,7.0,1.68,31.0,124.0,7.0,2.05,31.0,123.0,7.0,3.0,29.0,132.0,7.0,3.6,33.0,112.0,6.0,2.98,33.0,8.0,2.85,34.0,7.0,3.58,35.0,7.0,2.98,34.0,7.0,3.7,34.0,7.0,3.7
Bosnia and Herzegovina,BIH,ECA,34,109,7,2.6,33.0,114.0,7.0,2.04,35.0,108.0,6.0,1.95,34.0,110.0,7.0,2.18,35.0,110.0,7.0,1.8,35.0,111.0,7.0,1.87,36.0,101.0,7.0,1.95,38.0,89.0,7.0,1.86,38.0,91.0,7.0,2.56,39.0,7.0,1.7,38.0,6.0,1.71,39.0,6.0,1.15,42.0,7.0,2.9,42.0,7.0,2.3
Botswana,BWA,SSA,58,41,9,1.99,57.0,43.0,9.0,2.41,59.0,39.0,7.0,3.04,60.0,35.0,8.0,2.63,55.0,45.0,8.0,3.19,60.0,35.0,7.0,2.88,61.0,34.0,7.0,3.73,61.0,34.0,7.0,2.76,61.0,34.0,7.0,2.74,60.0,6.0,3.1,63.0,6.0,2.35,63.0,6.0,1.93,64.0,7.0,1.6,65.0,7.0,1.9
Brazil,BRA,AME,35,107,8,2.76,34.0,107.0,8.0,2.41,36.0,104.0,8.0,1.47,38.0,94.0,8.0,1.58,38.0,96.0,8.0,1.61,38.0,94.0,8.0,2.5,35.0,106.0,8.0,4.06,35.0,105.0,8.0,4.05,37.0,96.0,8.0,4.24,40.0,8.0,4.34,38.0,7.0,5.29,43.0,7.0,4.01,42.0,8.0,3.7,43.0,8.0,3.3
Brunei Darussalam,BRN,AP,63,31,3,5.63,,,,,,,,,,,,,,,,,60.0,35.0,3.0,5.59,60.0,35.0,3.0,6.12,63.0,31.0,3.0,6.62,62.0,32.0,3.0,8.72,58.0,3.0,8.85,,,,,,,60.0,3.0,10.4,55.0,3.0,9.1
Bulgaria,BGR,WE/EU,40,84,9,1.96,43.0,76.0,9.0,1.92,45.0,67.0,10.0,1.16,43.0,72.0,10.0,1.06,42.0,78.0,10.0,1.18,44.0,69.0,10.0,1.29,43.0,74.0,10.0,2.77,42.0,77.0,10.0,2.41,43.0,71.0,10.0,2.66,41.0,9.0,2.2,41.0,9.0,2.43,43.0,9.0,2.82,41.0,9.0,3.3,41.0,8.0,3.8
Burkina Faso,BFA,SSA,40,84,7,2.49,41.0,82.0,7.0,2.3,41.0,83.0,7.0,1.78,42.0,77.0,7.0,1.37,42.0,78.0,7.0,1.37,40.0,86.0,8.0,1.62,40.0,85.0,8.0,2.54,41.0,78.0,8.0,1.81,42.0,74.0,7.0,2.18,42.0,7.0,2.47,38.0,7.0,2.97,38.0,7.0,2.67,38.0,7.0,3.9,38.0,7.0,4.4
Burundi,BDI,SSA,17,167,5,3.39,17.0,165.0,5.0,3.37,20.0,162.0,5.0,1.8,17.0,171.0,5.0,2.33,19.0,169.0,6.0,3.27,19.0,165.0,6.0,3.74,19.0,165.0,6.0,4.89,17.0,170.0,5.0,2.65,22.0,157.0,6.0,3.29,20.0,6.0,1.53,21.0,5.0,2.94,20.0,5.0,3.65,21.0,5.0,2.6,19.0,5.0,2.8
Cabo Verde,CPV,SSA,62,35,5,4.23,62.0,35.0,5.0,3.86,64.0,30.0,3.0,3.05,60.0,35.0,4.0,4.81,58.0,39.0,4.0,2.97,58.0,41.0,4.0,3.72,58.0,41.0,4.0,4.3,57.0,45.0,4.0,4.22,55.0,48.0,4.0,4.19,59.0,3.0,5.72,55.0,4.0,6.16,57.0,4.0,5.94,58.0,4.0,4.8,60.0,4.0,3.8
Cambodia,KHM,AP,20,163,7,3.04,21.0,158.0,7.0,2.86,22.0,158.0,7.0,2.9,24.0,150.0,8.0,2.78,23.0,157.0,8.0,2.84,21.0,160.0,8.0,2.32,20.0,162.0,8.0,3.41,20.0,161.0,8.0,2.58,21.0,161.0,8.0,2.43,21.0,8.0,2.82,21.0,7.0,3.87,21.0,7.0,2.25,20.0,7.0,3.0,22.0,7.0,3.1
Cameroon,CMR,SSA,26,142,9,1.69,26.0,140.0,9.0,1.76,27.0,140.0,9.0,1.65,26.0,142.0,9.0,1.37,27.0,144.0,9.0,1.37,25.0,149.0,9.0,1.36,25.0,153.0,9.0,2.42,25.0,152.0,9.0,2.43,25.0,153.0,9.0,2.58,26.0,9.0,3.04,27.0,8.0,3.26,27.0,8.0,2.87,25.0,8.0,2.9,26.0,8.0,3.5
Canada,CAN,AME,75,16,8,1.96,75.0,15.0,8.0,1.95,76.0,12.0,8.0,1.73,74.0,14.0,8.0,2.12,74.0,13.0,8.0,2.3,77.0,11.0,8.0,1.77,77.0,12.0,8.0,2.8,81.0,9.0,8.0,2.16,82.0,8.0,8.0,1.49,82.0,7.0,2.03,83.0,7.0,1.63,81.0,7.0,2.45,81.0,7.0,2.4,84.0,7.0,2.2
Central African Republic,CAF,SSA,24,150,5,2.09,24.0,149.0,5.0,1.57,24.0,149.0,5.0,0.99,24.0,150.0,5.0,0.81,24.0,154.0,5.0,0.99,26.0,146.0,5.0,0.93,25.0,153.0,5.0,1.43,26.0,149.0,5.0,1.14,23.0,156.0,5.0,3.28,20.0,4.0,4.04,24.0,4.0,1.44,24.0,4.0,1.33,25.0,4.0,5.4,26.0,4.0,2.4
Chad,TCD,SSA,22,157,6,3.63,21.0,158.0,6.0,3.01,20.0,162.0,6.0,2.16,19.0,167.0,6.0,1.51,20.0,164.0,6.0,1.89,21.0,160.0,6.0,1.71,20.0,162.0,6.0,2.45,19.0,165.0,6.0,2.94,20.0,165.0,6.0,2.73,20.0,5.0,2.67,22.0,5.0,2.35,22.0,5.0,2.95,19.0,5.0,3.8,19.0,5.0,2.5
