Year,Country,crime_index,foreign_investment,gepu,cpi_score,log_fdi,crime_index_std,cpi_score_std,gepu_std,foreign_investment_std,fdi_lag1,crime_lag1,cpi_lag1,fdi_change,crime_change,is_oecd,is_brics,development_level,time_trend,years_since_2012,crime_corruption_int,gepu_corruption_int,crime_corruption_ratio
2024,Brazil,64.0,74090786050.19,143.90174865722656,34.0,25.028557016715244,1.7802887362099358,-1.3116040225217533,-0.3440246510581899,0.10626198461835257,62750364285.48,64.0,36.0,18.0722803665605,0.0,0,1,Emerging,13,12,2176.0,4892.659454345703,0.9696969696969697
2025,Brazil,64.0,,332.896240234375,35.0,,1.7802887362099358,-1.260934992954136,1.15525351491296,,74090786050.19,64.0,34.0,,0.0,0,1,Emerging,14,13,2240.0,11651.368408203125,0.9846153846153847
2012,Canada,45.6,49368985104.199,235.51641845703125,84.0,24.622588232072506,0.12754843619667566,1.2218474558591168,0.38274718746089387,-0.17248241117388696,,,,,,1,0,Advanced,1,0,3830.4,19783.379150390625,2.85
2013,Canada,45.6,67027866778.2681,223.526611328125,81.0,24.928374291929476,0.12754843619667566,1.0698403671562646,0.28763300771647277,0.026625829902832264,49368985104.199,45.6,84.0,35.76918106944669,0.0,1,0,Advanced,2,1,3693.6,18105.655517578125,2.4
2014,Canada,45.6,64174605785.6346,132.78744506835938,81.0,24.884873420882016,0.12754843619667566,1.0698403671562646,-0.4321935313345829,-0.00554539067962957,67027866778.2681,45.6,81.0,-4.256827987786405,0.0,1,0,Advanced,3,2,3693.6,10755.78305053711,2.4
2015,Canada,45.6,59986208237.0734,286.051513671875,83.0,24.817380510030585,0.12754843619667566,1.1711784262914995,0.783638050674017,-0.052770604836234664,64174605785.6346,45.6,81.0,-6.5265652936800205,0.0,1,0,Advanced,4,3,3784.8,23742.275634765625,2.682352941176471
2016,Canada,45.6,34201872160.6084,156.0035400390625,82.0,24.255546221054963,0.12754843619667566,1.120509396723882,-0.24802210920358772,-0.3434953459762524,59986208237.0734,45.6,83.0,-42.98377382774705,0.0,1,0,Advanced,5,4,3739.2000000000003,12792.290283203125,2.533333333333333
2017,Canada,45.6,25357801000.4969,338.15545654296875,82.0,23.956352251418917,0.12754843619667566,1.120509396723882,1.1969744567022886,-0.44321442701143177,34201872160.6084,45.6,82.0,-25.858441662434938,0.0,1,0,Advanced,6,5,3739.2000000000003,27728.747436523438,2.533333333333333
2018,Canada,45.6,42603762048.597,343.7724304199219,81.0,24.47520839732248,0.12754843619667566,1.0698403671562646,1.2415334606302337,-0.24876196771401482,25357801000.4969,45.6,82.0,68.0104755446348,0.0,1,0,Advanced,7,6,3693.6,27845.566864013672,2.4
2019,Canada,45.6,48942300762.2452,301.89996337890625,77.0,24.613907905753035,0.12754843619667566,0.867164248885795,0.9093625329695466,-0.1772933822415594,42603762048.597,45.6,81.0,14.877884977429922,0.0,1,0,Advanced,8,7,3511.2000000000003,23246.29718017578,1.982608695652174
